budget,size,seed,obj,acc,time,projects
400,0.005,89,6460.170000000002,8071,55.2347092628479,"[12, 13, 45, 60, 66, 67, 72, 73]"
400,0.005,90,6791.778999999999,8794,58.18411445617676,"[6, 12, 28, 60, 66, 67, 68, 79, 80]"
400,0.01,0,6270.869999999986,7697,120.9909348487854,"[15, 20, 26, 32, 45, 50, 57, 80]"
400,0.01,12,7712.008000000025,9531,145.84736156463623,"[12, 13, 21, 22, 45, 66, 68, 73]"
400,0.01,23,8200.409000000029,10100,123.19897413253784,"[13, 15, 16, 21, 27, 50, 66, 79, 80]"
400,0.01,34,7657.658000000034,9590,105.73208260536194,"[12, 13, 21, 22, 26, 27, 32, 45]"
400,0.01,45,8207.585000000041,10279,95.20962953567505,"[12, 13, 15, 16, 21, 26, 27, 32]"
400,0.01,56,8200.409000000029,10100,108.12698745727539,"[13, 15, 16, 21, 27, 50, 66, 79, 80]"
400,0.01,67,6647.266000000001,8337,177.21747064590454,"[12, 13, 20, 22, 45, 60, 79, 80]"
400,0.01,78,8200.409000000029,10100,188.17505192756653,"[13, 15, 16, 21, 27, 50, 66, 79, 80]"
400,0.01,89,6185.63800000001,8066,173.63405179977417,"[6, 12, 16, 51, 60, 66, 67, 73, 80]"
400,0.01,90,8037.230000000029,10035,124.3249397277832,"[12, 13, 15, 21, 26, 27, 32, 53]"
400,0.03,0,7715.013000000035,9654,1040.023989200592,"[6, 15, 21, 27, 51, 60, 61, 66, 80]"
400,0.03,12,7095.018000000016,8858,781.9865775108337,"[13, 14, 20, 26, 32, 60, 61, 80]"
400,0.03,23,7355.311000000011,9233,466.22014689445496,"[13, 15, 20, 26, 32, 53, 73, 75]"
400,0.03,34,7909.961000000048,9851,591.6679980754852,"[13, 15, 16, 21, 27, 28, 66, 75, 80]"
400,0.03,45,7818.072000000033,9616,522.8793196678162,"[13, 15, 16, 21, 27, 61, 66, 79, 80]"
400,0.03,56,8200.409000000029,10100,332.04775953292847,"[13, 15, 16, 21, 27, 50, 66, 79, 80]"
400,0.03,67,8200.409000000029,10100,323.2078058719635,"[13, 15, 16, 21, 27, 50, 66, 79, 80]"
400,0.03,78,7925.063000000018,9937,526.2776792049408,"[6, 13, 15, 16, 21, 27, 61, 66, 80]"
400,0.03,89,8135.048000000032,10043,442.00688314437866,"[13, 15, 16, 21, 27, 50, 51, 66, 80]"
400,0.03,90,7909.961000000048,9851,656.9271988868713,"[13, 15, 16, 21, 27, 28, 66, 75, 80]"
400,0.05,0,8200.409000000029,10100,922.6970362663269,"[13, 15, 16, 21, 27, 50, 66, 79, 80]"
400,0.05,12,7637.205000000033,9580,4052.0994324684143,"[13, 15, 20, 26, 27, 32, 53, 75]"
400,0.05,23,8200.409000000029,10100,3183.4694304466248,"[13, 15, 16, 21, 27, 50, 66, 79, 80]"
400,0.05,34,7818.072000000033,9616,1983.6083130836487,"[13, 15, 16, 21, 27, 61, 66, 79, 80]"
400,0.05,45,7818.072000000033,9616,1582.168206691742,"[13, 15, 16, 21, 27, 61, 66, 79, 80]"
400,0.05,56,7851.02200000003,9684,3350.056336402893,"[13, 15, 16, 20, 21, 26, 27, 32]"
400,0.05,67,8135.048000000032,10043,1310.7223052978516,"[13, 15, 16, 21, 27, 50, 51, 66, 80]"
400,0.05,78,8135.048000000032,10043,1267.4453070163727,"[13, 15, 16, 21, 27, 50, 51, 66, 80]"
