budget,size,seed,obj,acc,time,projects
400,0.05,67,8039.0500000000375,10050,1003.2444875240326,"[13, 21, 22, 26, 27, 32, 66, 68]"
400,0.05,78,7943.05900000003,9694,4015.5868356227875,"[13, 15, 21, 22, 26, 32, 66, 68]"
400,0.05,89,8200.409000000029,10100,917.1964330673218,"[13, 15, 16, 21, 27, 50, 66, 79, 80]"
400,0.05,90,7907.36100000003,9815,4124.426737785339,"[12, 13, 21, 22, 26, 32, 66, 68]"
400,0.08,0,7909.961000000048,9851,23280.875644207,"[13, 15, 16, 21, 27, 28, 66, 75, 80]"
400,0.08,12,7997.83500000003,10039,4308.6456179618835,"[13, 15, 21, 22, 26, 27, 32, 68]"
400,0.08,23,8243.60000000003,10288,31614.98876142502,"[13, 15, 16, 21, 26, 27, 50, 79, 80]"
300,0.005,0,3557.4710000000105,4600,65.0029411315918,"[15, 16, 20, 32, 52, 60]"
300,0.005,12,4784.550000000012,6147,70.77174878120422,"[15, 16, 50, 51, 57, 75]"
300,0.005,23,4500.4540000000015,5926,74.85949683189392,"[6, 20, 22, 26, 45, 60]"
300,0.005,34,4530.805999999966,6188,82.73428106307983,"[21, 22, 75, 78, 79, 80]"
300,0.005,45,4795.1900000000205,6123,70.10200214385986,"[13, 20, 22, 32, 50, 60]"
300,0.005,56,4329.301999999976,5672,83.67094111442566,"[20, 26, 32, 51, 60, 78]"
300,0.005,67,5465.541000000016,7024,52.75530695915222,"[21, 22, 45, 51, 66, 68]"
300,0.005,78,4663.002000000006,5873,54.41886591911316,"[15, 16, 20, 22, 45, 75]"
300,0.005,89,5769.520000000004,7398,68.22531914710999,"[13, 15, 21, 26, 27, 32]"
300,0.005,90,5934.958000000039,7558,50.00685214996338,"[13, 21, 27, 60, 61, 66]"
300,0.01,0,5883.942000000012,7539,90.5568790435791,"[13, 20, 26, 27, 32, 60]"
300,0.01,12,4390.160000000005,5683,91.92127203941345,"[22, 50, 51, 57, 60, 78]"
300,0.01,23,5148.500000000011,6719,126.0521821975708,"[21, 50, 51, 60, 66, 73]"
300,0.01,34,5203.638999999979,6924,114.89851593971252,"[21, 22, 66, 75, 79, 80]"
300,0.01,45,4990.544000000013,6376,121.63675713539124,"[13, 15, 21, 22, 30, 68]"
300,0.01,56,5414.728999999999,7173,123.82658505439758,"[21, 22, 26, 32, 61, 66]"
300,0.01,67,5251.311000000011,6625,88.87562656402588,"[12, 13, 21, 22, 66, 80]"
300,0.01,78,6053.054000000024,7431,116.796630859375,"[13, 15, 21, 22, 66, 68]"
300,0.01,89,5736.340999999997,7337,129.58574891090393,"[13, 21, 22, 26, 32, 66]"
300,0.01,90,6142.412000000033,7782,113.33646488189697,"[13, 21, 22, 27, 66, 68]"
300,0.02,0,6184.258000000003,7964,173.21856689453125,"[13, 21, 26, 27, 32, 60]"
300,0.02,12,5017.481999999993,6491,299.5078911781311,"[21, 27, 60, 66, 75, 78]"
300,0.02,23,5546.132000000014,7125,353.9055988788605,"[12, 21, 22, 45, 66, 68]"
300,0.02,34,5901.810000000012,7737,212.8761978149414,"[21, 22, 27, 66, 68, 80]"
300,0.02,45,5902.088000000042,7570,197.5755970478058,"[13, 15, 21, 26, 27, 53]"
300,0.02,56,4768.704000000009,6271,239.6050670146942,"[21, 22, 30, 51, 61, 66]"
300,0.02,67,5638.8860000000095,7079,195.53211307525635,"[12, 13, 21, 22, 66, 79]"
300,0.02,78,5364.500999999984,6839,225.167062997818,"[15, 20, 26, 32, 53, 80]"
300,0.02,89,6052.777000000013,7959,362.13425612449646,"[15, 16, 21, 26, 27, 32]"
300,0.02,90,6080.747999999994,7570,357.77504205703735,"[15, 21, 22, 66, 68, 73]"
300,0.03,0,5820.742000000024,7435,447.864688873291,"[13, 21, 26, 27, 50, 60]"
300,0.03,12,5322.433000000001,6873,336.44764614105225,"[21, 27, 60, 66, 75, 79]"
300,0.03,23,5413.598000000027,6913,577.3584091663361,"[12, 13, 15, 22, 60, 61]"
300,0.03,34,5731.979999999989,7406,394.4980700016022,"[15, 21, 27, 66, 75, 80]"
300,0.03,45,5902.088000000042,7570,379.12425899505615,"[13, 15, 21, 26, 27, 53]"
300,0.03,56,5964.2610000000295,7548,448.2838568687439,"[13, 21, 22, 66, 68, 79]"
300,0.03,67,5964.2610000000295,7548,428.3831889629364,"[13, 21, 22, 66, 68, 79]"
300,0.03,78,5558.957000000004,7164,492.30285596847534,"[13, 20, 26, 32, 60, 80]"
300,0.03,89,5990.382000000038,7479,524.3559980392456,"[13, 15, 21, 27, 53, 66]"
300,0.03,90,5864.528999999982,7729,505.9484920501709,"[21, 22, 32, 66, 68, 73]"
300,0.05,0,5913.859000000035,7393,810.3954110145569,"[12, 13, 21, 27, 60, 66]"
300,0.05,12,6184.258000000003,7964,1446.1689140796661,"[13, 21, 26, 27, 32, 60]"
300,0.05,23,5901.810000000012,7737,1640.9083609580994,"[21, 22, 27, 66, 68, 80]"
300,0.05,34,6142.412000000033,7782,861.456386089325,"[13, 21, 22, 27, 66, 68]"
300,0.05,45,5902.088000000042,7570,775.5306580066681,"[13, 15, 21, 26, 27, 53]"
300,0.05,56,6094.034000000023,7602,1550.7522730827332,"[13, 21, 22, 45, 66, 68]"
300,0.05,67,5964.2610000000295,7548,688.9867248535156,"[13, 21, 22, 66, 68, 79]"
300,0.05,78,5883.942000000012,7539,994.9751989841461,"[13, 20, 26, 27, 32, 60]"
300,0.05,89,6099.00000000004,7665,1043.1355650424957,"[13, 15, 16, 21, 27, 66]"
300,0.05,90,6127.2570000000305,7640,1821.756581068039,"[12, 13, 21, 22, 66, 68]"
300,0.08,0,5223.240999999965,6810,2989.9809279441833,"[13, 26, 27, 32, 50, 75]"
300,0.08,12,6184.258000000003,7964,2065.7774188518524,"[13, 21, 26, 27, 32, 60]"
300,0.08,23,6052.777000000013,7959,3101.6205661296844,"[15, 16, 21, 26, 27, 32]"
300,0.08,34,5731.979999999989,7406,1623.190269947052,"[15, 21, 27, 66, 75, 80]"
300,0.08,45,5902.088000000042,7570,1867.9160888195038,"[13, 15, 21, 26, 27, 53]"
300,0.08,56,6094.034000000023,7602,3756.3218681812286,"[13, 21, 22, 45, 66, 68]"
300,0.08,67,6184.258000000003,7964,1673.7307169437408,"[13, 21, 26, 27, 32, 60]"
300,0.08,78,5883.942000000012,7539,2700.37539601326,"[13, 20, 26, 27, 32, 60]"
300,0.08,89,6127.2570000000305,7640,1373.6366522312164,"[12, 13, 21, 22, 66, 68]"
300,0.08,90,6029.560000000014,7475,1984.6323251724243,"[15, 21, 22, 27, 66, 68]"
300,0.1,0,6142.412000000033,7782,8148.363369941711,"[13, 21, 22, 27, 66, 68]"
300,0.1,12,6184.258000000003,7964,3087.866175889969,"[13, 21, 26, 27, 32, 60]"
300,0.1,23,6052.777000000013,7959,2278.3236989974976,"[15, 16, 21, 26, 27, 32]"
300,0.1,34,6142.412000000033,7782,4031.6798169612885,"[13, 21, 22, 27, 66, 68]"
300,0.1,45,5990.382000000038,7479,2383.6683218479156,"[13, 15, 21, 27, 53, 66]"
300,0.1,56,6127.2570000000305,7640,4906.674471855164,"[12, 13, 21, 22, 66, 68]"
300,0.1,67,6158.131000000023,7840,4661.449412107468,"[13, 21, 22, 66, 68, 73]"
300,0.1,78,5883.942000000012,7539,4305.260616064072,"[13, 20, 26, 27, 32, 60]"
300,0.1,89,6094.034000000023,7602,2024.2851159572601,"[13, 21, 22, 45, 66, 68]"
300,0.1,90,6127.2570000000305,7640,1617.5477821826935,"[12, 13, 21, 22, 66, 68]"
