DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,sum_score
35201039,1281.0,2.00940519662119,-1.5415472259829446,0.9687162741030332,0.06501828821604347,5.0,1.0,5.0,4.0,3.75
35201040,534.0,0.9123386775920941,-1.0988102389923449,0.5946031683990665,-0.07262273670547773,5.0,1.0,5.0,3.0,3.5
35201041,840.0,2.25329236387746,-1.566210204454687,2.2377611192874243,-0.939175314630419,5.0,1.0,5.0,1.0,3.0
35200133,1134.0,-0.9887719287248027,0.929785127885183,0.18734265569180064,2.5017157435667965,1.0,5.0,4.0,5.0,3.75
35200134,727.0,-0.929341965938191,0.26854599628755776,0.4444463725146558,1.9580191918007557,1.0,4.0,4.0,5.0,3.5
35200135,486.0,-0.8827513339053477,0.41487234742111734,-0.014811482187834762,2.430296223036824,1.0,4.0,3.0,5.0,3.25
35200994,500.0,1.5467053742628611,0.47584449745277846,-0.5547297084919268,0.009304555968924155,5.0,4.0,2.0,4.0,3.75
35200062,780.0,-0.5586374903313255,0.9823609342613451,-0.40294792340410046,2.3159863677304893,2.0,5.0,2.0,5.0,3.5
35204109,2005.0,1.4108169151259569,4.515044444946955,0.5289226945915402,1.8740176043917702,5.0,5.0,4.0,5.0,4.75
35204110,2139.0,0.8779434061486218,3.3377535032341883,-0.8574392963476238,2.5500380237640985,5.0,5.0,1.0,5.0,4.0
35204111,2311.0,1.2807338370352948,3.5880486383859553,-1.2597303907888595,2.0644432925056995,5.0,5.0,1.0,5.0,4.0
35204113,1674.0,1.2608582471777878,-0.5537322766821665,2.7927094720686267,0.09709362564098065,5.0,2.0,5.0,4.0,4.0
35204114,1080.0,2.1733355635867975,0.5168982557113921,4.5150196782036645,0.6662467233089014,5.0,4.0,5.0,4.0,4.5
35204115,1500.0,1.7643246336703629,0.40791182560306893,-0.6144095477958821,2.458593099588045,5.0,4.0,2.0,5.0,4.0
35201023,684.0,1.5075945020085681,-0.38713677463875107,-0.7736190055804572,-0.3186505309913957,5.0,3.0,1.0,3.0,3.0
35201024,579.0,1.3044905499115806,-0.20800615960186464,-0.2791970459687332,0.19172905972722137,5.0,3.0,3.0,4.0,3.75
35201025,594.0,2.094352620522693,-1.127211534570406,-0.8127053644468909,-0.21938560629152193,5.0,1.0,1.0,3.0,2.5
35200071,436.0,-0.8406488809017346,0.13711886922940691,0.6547696785235411,2.2588989151643175,1.0,4.0,5.0,5.0,3.75
35204126,4680.0,1.4599100666686102,2.434132701452107,-0.2653228346212192,3.4079913180696284,5.0,5.0,3.0,5.0,4.5
35204127,1653.0,0.47202870762237126,1.4885161380954801,-0.6951144795753244,2.5518252886686326,4.0,5.0,2.0,5.0,4.0
35201044,568.0,1.9014884150688833,-1.2670964967367202,-0.9364439634942249,-0.3576100058489185,5.0,1.0,1.0,3.0,2.5
35201045,426.0,3.1456718927001646,-0.8494727345369951,-1.1399741234240917,0.028817975702373544,5.0,1.0,1.0,4.0,2.75
35201046,565.0,3.3814292356995983,-0.8380373966139388,-0.7117331575007065,-0.18805569216414797,5.0,1.0,2.0,3.0,2.75
35201047,585.0,2.6294383150558875,-1.0557848202542441,-1.5049888090753871,-0.364586830106155,5.0,1.0,1.0,3.0,2.5
35201048,609.0,1.5687588789878344,-0.6566725627116331,-1.017539931136092,-0.16943149633048904,5.0,2.0,1.0,3.0,2.75
35201049,787.0,1.3142474881647193,-0.47543700381674747,-1.130484742010648,-0.24757258493423148,5.0,2.0,1.0,3.0,2.75
35201050,316.0,1.506799487158918,-0.9871921776771961,-1.105025229917155,0.26796029469291016,5.0,1.0,1.0,4.0,2.75
35201051,667.0,3.734675144904133,-0.3662756346003474,-0.9014808234327683,0.2731091392969621,5.0,3.0,1.0,4.0,3.25
35201052,546.0,2.8444377346511454,-0.7456239403460239,-0.6097426965081483,0.34190010999065557,5.0,2.0,2.0,4.0,3.25
35201053,474.0,2.962184712211607,-0.8068367651344504,-1.1425467030353322,0.8227077171119439,5.0,1.0,1.0,5.0,3.0
35201054,665.0,3.3569955023840397,-0.9280082135275551,-0.8395347369992785,0.28147198479906826,5.0,1.0,1.0,4.0,2.75
35201055,912.0,2.927714903941867,-0.7159216682457153,-0.3762431503861628,0.06707786974730165,5.0,2.0,2.0,4.0,3.25
35201056,490.0,2.7748778362593027,-0.48748005130228333,-1.4525212444585742,0.275529977085441,5.0,2.0,1.0,4.0,3.0
35203628,414.0,-0.8014722638141967,1.445136236428687,0.8320323735548261,1.2598810646754848,1.0,5.0,5.0,5.0,4.0
35203629,250.0,-0.18641293846014,0.46319583880383686,0.4926264953320585,1.868646912597789,3.0,4.0,4.0,5.0,4.0
35203630,309.0,-0.4592146216441537,1.5867666493623427,-0.1584613206170397,1.7383704585512383,3.0,5.0,3.0,5.0,4.0
35204136,1117.0,1.5265093602524624,2.2010806261269744,-1.3681483395767808,0.3998475572800204,5.0,5.0,1.0,4.0,3.75
35200009,293.0,-0.7094454094490522,1.2899667736446085,-0.7354271315764657,1.1194095804993849,2.0,5.0,1.0,5.0,3.25
35200177,418.0,-0.3651507322222901,-0.34388528864547296,0.15963445052760245,1.4973053446977747,3.0,3.0,4.0,5.0,3.75
35200178,562.0,-0.941267223033515,-0.30735895445895534,0.7170656553841676,1.257887965934333,1.0,3.0,5.0,5.0,3.5
35200179,598.0,1.9487031058264204,-1.3818793325575829,11.463102967017099,2.3171285932873413,5.0,1.0,5.0,5.0,4.0
35200180,585.0,-0.2333320235357239,1.9935847361606802,-0.16156834675836634,1.571037862865584,3.0,5.0,3.0,5.0,4.0
35200182,397.0,0.3826262891961514,0.7208096246232654,-0.2554713462527916,2.0145559042066252,4.0,5.0,3.0,5.0,4.25
35201440,502.0,0.6233788760029408,-0.9893057170078752,-0.5989812773816705,0.2933782185607834,4.0,1.0,2.0,4.0,2.75
35201441,480.0,1.1634096596538446,-0.9619777111009813,-0.4510711072277719,-0.46187343132476066,5.0,1.0,2.0,3.0,2.75
35201442,738.0,1.2155476082266838,-0.8798629063318042,-0.7710374634568231,-0.11467809292360003,5.0,1.0,1.0,3.0,2.5
35204116,883.0,3.3917570494216895,2.5309464884336355,3.59356017990588,1.8874685742042578,5.0,5.0,5.0,5.0,5.0
35204117,1979.0,1.5770743037076032,-0.4596168470012594,2.3098522369948444,0.5047628981094556,5.0,2.0,5.0,4.0,4.0
35204118,2724.0,0.8320318194842599,0.04793942891612643,-0.07797213957755272,1.5319250994104117,5.0,4.0,3.0,5.0,4.25
35204119,1778.0,1.6737657056491213,1.015809847976524,-0.897639891102735,2.0126877618179915,5.0,5.0,1.0,5.0,4.0
35203394,857.0,2.7175907800626145,1.6933258337186392,7.620365076341978,1.0670357475071066,5.0,5.0,5.0,5.0,5.0
35203226,530.0,0.3679220254006921,0.18691791196525281,-0.9479049878535492,0.2915814377537572,4.0,4.0,1.0,4.0,3.25
35203227,498.0,1.0817558807733505,0.9241701479488743,-0.7397397158345451,0.28608569517049093,5.0,5.0,1.0,4.0,3.75
35203228,583.0,1.825862313550603,-1.131739388177982,-0.40338127877177093,-0.4176107168870949,5.0,1.0,2.0,3.0,2.75
35203229,501.0,0.2991072198902667,-0.9571159452731586,-0.44355410029466763,-0.5956960283318653,4.0,1.0,2.0,2.0,2.25
35203230,655.0,1.0808465786289636,-0.07940274729195768,-0.3273902330149267,-0.45149842995547385,5.0,3.0,2.0,3.0,3.25
