DA,curr_acc,tot_acc,score,Marginalization Group
13467739,1465,52050,0.375,1
13467282,1350,46045,0.5,2
13449205,340,87330,0.6875,3
30035870,235,89795,0.75,4
30016928,285,102445,0.75,4
13449620,1470,95560,0.75,4
13449949,1425,90755,0.625,3
13450171,1520,89545,0.6875,3
13450359,1565,87215,0.8125,5
13454506,90,96720,0.75,4
13454967,280,59115,0.75,4
13455386,310,59025,0.5,2
13456274,325,67800,0.75,4
13455988,1885,65620,0.4375,1
13455636,1295,59480,0.75,4
13454850,1765,66760,0.625,3
30001151,340,72655,0.875,5
13454479,450,72375,0.6875,3
13454559,90,68080,0.625,3
30073146,400,42630,0.5,2
13455888,285,68385,0.75,4
13454624,2870,52430,0.6875,3
13453691,280,58870,0.6875,3
13454034,385,58620,0.5,2
13451754,285,55815,0.625,3
13451787,295,56070,0.625,3
13452252,145,61930,0.875,5
30001653,1750,64150,0.75,4
13453840,6545,120705,0.6875,3
30055266,270,86295,0.625,3
13452650,10315,212145,0.25,1
13452304,9965,210105,0.625,3
13452131,10305,217475,0.25,1
13450707,7400,178130,0.5625,2
13452009,100,93910,0.8125,5
13453592,70,110020,0.75,4
13455246,6365,80435,0.875,5
13454322,1785,63370,0.625,3
13448234,2285,147515,0.5,2
13451953,1200,203605,0.3125,1
13452654,10185,199335,0.5,2
13452798,10270,199770,0.1875,1
13453176,10220,205480,0.5,2
13453387,10215,205695,0.1875,1
13453487,10220,205655,0.5,2
13453993,10185,206900,0.25,1
13454257,10250,209705,0.5625,2
30096043,10260,216085,0.5625,2
20041141,1135,215990,0.75,4
13455084,1125,217675,0.5,2
20041059,1125,205775,0.25,1
13454826,1155,198510,0.625,3
13455322,39840,155650,0.5625,2
13454994,33375,148305,0.8125,5
13454474,17215,123090,0.75,4
13453878,1695,207980,0.4375,1
13454312,1150,201680,0.5,2
13452842,170,204795,0.6875,3
13452281,700,197370,0.75,4
13451922,675,184890,0.375,1
13452841,815,126000,0.625,3
13452909,475,132605,0.625,3
13450996,1440,167215,0.1875,1
13450075,1455,167965,0.75,4
13449516,1640,172070,0.625,3
13449318,485,175615,0.4375,1
13445212,6245,94200,0.8125,5
13451520,1435,210160,0.1875,1
13451376,1380,203095,0.4375,1
30076232,1380,165970,0.6875,3
30093410,735,202700,0.6875,3
13469333,11000,95455,0.4375,1
13469622,1400,90630,0.5625,2
30108188,10990,107020,0.4375,1
13469636,10540,102860,0.8125,5
13469409,10910,108135,0.5625,2
30037365,0,148320,0.75,4
13448438,260,154820,0.5,2
30091746,6285,91960,0.75,4
13445766,6665,132440,0.625,3
13445940,6730,132165,0.75,4
13445704,175,102215,0.5625,2
30072854,6070,96000,0.6875,3
20090029,33390,150605,0.8125,5
13464022,31305,158810,0.625,3
13444518,6250,92310,0.5625,2
13444434,6145,91060,0.5625,2
13444693,6180,91645,0.5,2
30072832,6230,96575,0.625,3
13461759,21655,122405,0.625,3
13462342,22280,114450,0.9375,5
13462337,25580,126655,0.6875,3
20141003,25335,126485,0.625,3
13470308,3440,66720,0.5,2
13463640,1745,124885,0.5,2
13464198,1465,125695,0.625,3
14014954,43205,140565,0.3125,1
14014970,47190,143990,0.375,1
13465492,46990,153460,0.375,1
13465341,51405,161650,0.3125,1
14045620,48350,149335,0.375,1
14045849,47140,154395,0.375,1
14045724,54580,216260,0.375,1
14015247,53725,206410,0.4375,1
14045065,48010,161795,0.375,1
14045760,54630,165810,0.25,1
13465318,72625,181170,0.375,1
13465713,56215,163790,0.3125,1
13465958,88720,222085,0.375,1
13465879,103025,264975,0.375,1
13465910,103670,264145,0.5,2
14015842,85565,460625,0.4375,1
14017403,121305,561440,0.3125,1
14017448,126265,594890,0.375,1
30092315,110,55520,0.8125,5
13470583,3990,63925,0.375,1
13470368,6195,62525,0.75,4
13470473,3990,66055,0.875,5
13470622,4100,59345,0.4375,1
13461254,685,45485,0.6875,3
13460595,685,45675,0.5,2
13460215,610,51965,0.5625,2
14173976,140,120890,0.75,4
13469389,10965,114445,0.5,2
20053092,10975,118265,0.625,3
13470157,6140,83875,0.4375,1
13470252,6225,78910,0.3125,1
13470384,6805,70785,0.6875,3
13470149,6015,83150,0.5625,2
20048534,3990,67525,0.5,2
20058502,4050,61605,0.8125,5
13470543,4085,63660,0.3125,1
30076362,3500,64880,0.25,1
13470421,3595,63080,0.1875,1
13470281,3500,64930,0.4375,1
13470660,4015,50650,0.625,3
13470628,4145,59230,0.625,3
13470676,4145,58345,0.375,1
13470723,4060,50525,0.75,4
13468810,1505,55630,0.25,1
13469165,1330,51165,0.5,2
13470712,4080,50065,0.625,3
13470709,4145,50995,0.5625,2
13470673,3925,51550,0.5,2
30085098,3745,50720,0.5625,2
13470707,4000,50425,0.3125,1
13470722,4065,47635,0.75,4
30095256,4095,45545,0.625,3
30000214,4045,64055,0.625,3
13464107,2405,68360,0.5,2
13464019,2255,66560,0.375,1
13463316,2255,55030,0.375,1
13463025,70,61570,0.75,4
13462014,270,63845,0.75,4
13461879,370,66285,0.3125,1
13461496,320,60435,0.4375,1
13461173,610,49920,0.625,3
13462021,55,57240,0.75,4
13462218,420,57270,0.6875,3
13466568,1715,45500,0.5625,2
13466340,1915,46860,0.1875,1
13466212,1825,46345,0.5,2
30063226,1860,29980,0.3125,1
30112963,2405,75445,0.375,1
13465462,2355,75405,0.25,1
13450313,1500,32995,0.8125,5
30103899,1915,42795,0.4375,1
13465676,1855,46510,0.3125,1
13443143,3910,88855,0.8125,5
13443541,3910,89685,0.6875,3
30002269,3810,89955,0.8125,5
13442827,3910,83620,0.75,4
13468294,3765,76125,0.5625,2
13467435,2405,74190,0.5625,2
13449923,150,140125,0.25,1
13453731,2830,145615,0.75,4
13453216,145,143090,0.75,4
13457519,930,77210,0.5,2
30105527,2815,65470,0.4375,1
13455724,2815,72390,0.625,3
14117695,349230,631100,0.5625,2
30108218,224950,585610,0.625,3
13453734,0,81415,0.5625,2
13451906,12725,107210,0.75,4
13451559,12785,105165,0.6875,3
13450844,12785,106805,0.75,4
13450934,12785,112085,0.625,3
13451020,12785,112825,0.625,3
13446732,660,122380,0.625,3
13447939,10325,103960,0.75,4
13452724,12785,111745,0.8125,5
13467886,3850,79925,0.4375,1
13467684,3900,81145,0.375,1
13469222,1505,51490,0.1875,1
30037270,65,51965,0.5,2
13449588,1565,94530,0.75,4
30006919,340,93810,0.8125,5
13455843,400,68545,0.625,3
13456146,1885,66320,0.625,3
30058078,1885,64405,0.6875,3
13454900,1840,74220,0.6875,3
13455155,400,67785,0.8125,5
13455452,400,67690,0.5,2
20052865,340,58590,0.75,4
13451345,1885,62815,0.8125,5
13448472,340,90665,0.75,4
13455112,6545,81490,0.8125,5
13454936,440,84135,0.6875,3
13469537,11010,95945,0.4375,1
13448663,260,161175,0.5,2
13463284,31945,138970,0.5625,2
13463939,1685,128700,0.5,2
13445090,6340,94110,0.625,3
13461789,24635,125155,0.6875,3
20089987,29040,141765,0.625,3
13463364,1745,132095,0.8125,5
14045962,50890,161915,0.4375,1
13466698,173630,582230,0.4375,1
13467019,166025,580685,0.3125,1
13460133,685,46495,0.625,3
13470560,4145,63145,0.5625,2
30009311,1455,54630,0.625,3
13470715,4145,50920,0.5625,2
13470750,4145,46420,0.625,3
13470557,4145,52025,0.4375,1
13464747,2345,76365,0.375,1
13464733,2405,64330,0.4375,1
13461530,420,57005,0.6875,3
13442879,3910,83835,0.75,4
13442800,3910,83675,0.6875,3
13453631,2965,19755,0.5,2
13441733,160,59725,0.6875,3
30059183,175,65900,0.75,4
13444437,330,94135,0.8125,5
13450262,55,157050,0.4375,1
30098398,220,145130,0.6875,3
13461208,239995,639750,0.375,1
13460750,227080,658795,0.4375,1
30009172,405,26805,0.4375,1
20050756,0,70000,0.8125,5
30031486,135,47740,0.75,4
13445835,6340,100945,0.5,2
13445496,6340,102540,0.625,3
30081699,6260,112890,0.6875,3
13446135,6260,121565,0.8125,5
13461349,359330,667615,0.375,1
13460919,362960,681570,0.5,2
13461917,403445,671000,0.375,1
14049624,403625,685895,0.875,5
13461815,401560,670840,0.5,2
30003625,395415,665560,0.75,4
13451170,1885,63425,0.75,4
13449816,1705,48630,0.4375,1
13449544,1755,48250,0.625,3
13447279,6225,132825,0.625,3
13446893,6340,130225,0.5,2
30098092,447930,680980,0.25,1
13461980,467355,692780,0.6875,3
13462019,471790,703115,0.5,2
13464611,32875,151880,0.4375,1
13464738,36900,139505,0.3125,1
20112678,39560,133465,0.375,1
14045641,43225,145890,0.1875,1
13465308,32575,126610,0.375,1
13449825,1500,39655,0.8125,5
30091641,1405,32605,0.75,4
13458756,16755,275945,0.8125,5
30111270,720,119900,0.75,4
13455005,6400,81505,0.9375,5
13462712,464760,701885,0.5625,2
13463150,481030,706150,0.6875,3
20154109,478170,698990,0.6875,3
20154119,472000,693385,0.5,2
13449756,850,39005,0.75,4
13450885,1815,92285,0.75,4
30092001,1825,84080,0.75,4
30037257,6345,113580,0.875,5
13454583,225,107480,0.75,4
13454134,225,75020,0.625,3
13454431,135,87955,0.75,4
13453481,0,100105,0.5625,2
30093697,215,92940,0.75,4
13444531,115,104460,0.75,4
13452391,55,116210,0.8125,5
13451181,155,95260,0.8125,5
13451947,110,102275,0.625,3
13457457,465,103875,0.8125,5
13459556,43070,120840,0.6875,3
20078654,43085,119660,0.625,3
30104562,42460,108015,0.75,4
14233859,42750,122470,0.8125,5
13457989,273130,655195,0.5625,2
13458181,400930,651305,0.5,2
13458494,427545,673085,0.6875,3
14673130,402120,660605,0.5,2
14036433,452150,699040,0.5625,2
14036405,458820,703925,0.5625,2
13445629,550,51010,0.6875,3
13445645,550,64395,0.75,4
13460864,146630,425820,0.625,3
14022286,148445,416305,0.75,4
13461784,145935,567100,0.5,2
13461803,139115,521935,0.375,1
13461392,141850,407960,0.5,2
14021899,121455,349955,0.6875,3
13461100,121685,337985,0.4375,1
13458753,40635,104510,0.75,4
14658910,41760,109235,0.8125,5
20042223,41815,110780,0.5,2
13460179,295,94350,0.6875,3
13461174,462365,684990,0.3125,1
20141777,454800,679115,0.3125,1
13452185,55,117875,0.75,4
13454649,13305,305325,0.375,1
13445650,6340,99565,0.5625,2
30059633,38795,98370,0.3125,1
13462212,39975,103055,0.3125,1
13462195,38685,142995,0.4375,1
13461875,41430,203570,1.0,5
13462243,38860,149665,0.5,2
13462509,40015,159820,0.3125,1
13462683,38700,144075,0.25,1
20034056,200230,581670,0.5,2
20080297,221810,615245,0.8125,5
13460486,148505,440995,0.5625,2
13460797,212050,574990,0.625,3
13460500,193805,577420,0.5,2
13460161,192075,578905,1.0,5
14253125,213975,621305,0.5,2
13460928,192375,629510,0.4375,1
13453873,6405,120130,0.875,5
13460911,460275,685845,0.375,1
13461058,465765,691240,0.3125,1
13458706,99405,330410,0.625,3
20039589,96290,314475,0.8125,5
13458701,105685,365140,0.875,5
13459086,112110,395630,0.375,1
13459490,109645,396090,0.625,3
14068424,136465,445670,0.5625,2
